Source,Year,Mean
GISTEMP,1985,0.12
GISTEMP,1986,0.19
GISTEMP,1987,0.33
GISTEMP,1988,0.41
GISTEMP,1989,0.29
GISTEMP,1990,0.44
GISTEMP,1991,0.43
GISTEMP,1992,0.23
GISTEMP,1993,0.24
GISTEMP,1994,0.32
GISTEMP,1995,0.46
GISTEMP,1996,0.35
GISTEMP,1997,0.48
GISTEMP,1998,0.64
GISTEMP,1999,0.42
GISTEMP,2000,0.42
GISTEMP,2001,0.55
GISTEMP,2002,0.63
GISTEMP,2003,0.62
GISTEMP,2004,0.55
GISTEMP,2005,0.69
GISTEMP,2006,0.63
GISTEMP,2007,0.66
GISTEMP,2008,0.5419
GISTEMP,2009,0.6367
GISTEMP,2010,0.71
GISTEMP,2011,0.6
GISTEMP,2012,0.63
GISTEMP,2013,0.6679
GISTEMP,2014,0.7408